file,href,keyword,match_page,text
1 INDIVIDUALEN_GFO_2020.pdf,NA,иновации,55,"сме, че можем да използваме иновациите, за да улесня ваме хората и да им"
1 INDIVIDUALEN_GFO_2020.pdf,NA,иновации,58,финансиран със средства от Оперативна програма „Иновации и
1 INDIVIDUALEN_GFO_2020.pdf,NA, ИИ ,98,39 р) Финансови гаранц ии и кредитни ангажименти
1 INDIVIDUALEN_GFO_2020.pdf,NA, ИИ ,115,• Неизпълнение по някоя от другите експозиц ии на клиента ;
1 INDIVIDUALEN_GFO_2020.pdf,NA, ИИ ,118,"и регионални правителства, застрахователни компан ии - загубата при"
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,big data,25,през 2021 г. посветена на „Big Data & Advanced Analytics“. Образованието на
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,иновации,47,Срещаме иновациите с традициите и заедно намираме най-добрите
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,иновации,49,"Като лидер в иновациите в края на 2021 г., Райфайзенбанк пусна нов иновативен"
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,иновации,50,"сектор по отношение на клиентско преживяване, иновации и ефективност."
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,иновации,51,на постоянните иновации в изключително клиентско преживяване.
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,иновации,56,"В резултат на създадените иновации, свързани с дигитализацията и"
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,иновации,56,Посредством иновации Банката разви клиентските пътеки за дигитално
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,иновация,57,годишна база. Райфайзенбанк предложи още една картова иновация през
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,artificial intelligence,59,"(Raiffeisen Artificial Intelligence Assistant) вече е в дигиталните канали, през които"
1 Separate Statements IFRS 2021 BG_RBBG.pdf,NA,изкуствен интелект,59,"с последно поколение изкуствен интелект, който помага на клиентите да"
2 KONSOLIDIRAN_GFO_2020.pdf,NA,иновации,42,"сектор по отношение на клиентско преживяване, иновации и ефективност."
2 KONSOLIDIRAN_GFO_2020.pdf,NA,иновации,42,постоянните иновации в изключително клиентско преживяване .
2 KONSOLIDIRAN_GFO_2020.pdf,NA,artificial intelligence,50,информация за продуктите и услугите на банката. RAIA (Raiffeisen Artificial Intelligence
2 KONSOLIDIRAN_GFO_2020.pdf,NA,изкуствен интелект,50,"поколение изкуствен интелект, който помага на клиентите да получат нужната"
2 KONSOLIDIRAN_GFO_2020.pdf,NA,иновации,51,"иновациите, за да улесняваме хората и да им спестяваме време и усили я, които да"
2 KONSOLIDIRAN_GFO_2020.pdf,NA,изкуствен интелект,52,изкуствен интелект RAIA.
2 KONSOLIDIRAN_GFO_2020.pdf,NA,иновации,55,"Covid -19”, финансиран със средства от Оперативна програма „Иновации и"
2 KONSOLIDIRAN_GFO_2020.pdf,NA, ИИ ,98,"Части от някои позиц ии от имоти, машини и оборудване , които се нуждаят от"
2018_report.pdf,NA,иновации,40,"клиентско  преживяване,  дигитализация  и иновации,  управление  на"
2018_report.pdf,NA,иновации,40,служители  по теми  свързани  с дигитализация  и иновации:  „Иновации  и
2018_report.pdf,NA,иновации,40,служители  по теми  свързани  с дигитализация  и иновации:  „Иновации  и
2018_report.pdf,NA,иновации,42,"клиентско  преживяване,  иновации  и ефективност.  Мисията  на Дирекция"
2018_report.pdf,NA,финтех,47,регионалното  предизвикателство  в рамките  на  най-големия  финтех
2018_report.pdf,NA,иновации,53,• Култивиране  и поощряване  на иновациите  и иновативното  мислене.
2019 RBB FS Separate.pdf,NA,иновации,23,"експерти на банката представи темите за „Иновации в банкирането“,"
2019 RBB FS Separate.pdf,NA,иновации,41,"иновации, меки умения с фокус върху благосъстоянието на служителите,"
2019 RBB FS Separate.pdf,NA,иновации,41,дигитализация и иновации: „Data Scien ce“ и „Дигитална трансформация
2019 RBB FS Separate.pdf,NA,иновации,43,иновации и ефективност.
2019 RBB FS Separate.pdf,NA,иновации,43,превръщане на постоянните иновации в изключително клиентско
2019 RBB FS Separate.pdf,NA,изкуствен интелект,48,"кандидатираха с проекти в сферите Анализ на данни, Изкуствен интелект,"
2019 RBB FS Separate.pdf,NA,финтех,48,програма на Райфайзен Банк Интернешънъл за партньорство с финтех
Consolidated Statements IFRS 2016 BG.pdf,NA, ИИ ,37,повече от 20 международни небанкови организац ии поддържат сметки
Consolidated Statements IFRS 2016 BG.pdf,NA, ИИ ,37,Отношения с международни финансови институц ии
Consolidated Statements IFRS 2016 BG.pdf,NA, ИИ ,89,"Провиз ии за обезценка  (30,872)  (274)  -"
